english,hassaniya-ar,hassaniya-en
The girl is lonely.,الطفيلة مستحفية,e6feyla mesta7vye
There comes the bus.,اراعي البيس جا,ra3i lbus je
This is a pun.,هذي نكتة,ha4i noukte
We named my son after my grandfather.,سمينا ولنا على جدي,smeyne wilne 3le jedi
Your house needs repairing.,دارك تحتاج تصلاح,darek te7taj tesla7
You could say that both of those balls are the same weight.,تگد اتگول ان ذو بالوهين عندهم نفس الوزن,tgid 2tgoul 2in 4ou balloheyn 3ndhoum nevss 2lwezn 
You are a good student.,انت تلميدي زين,nte telmiydi zeyn
Your questions were too direct.,أسئلتك گبيل تلفلفهم شوي,2es2iltek gbeyl tlevlevhoun chwey
Most people write about their daily life.,اغلبيت الناس يكتبو عن ذ لى ايعيشو كل انهار,29lebiyet 2nas yeketbou 3en 4e li y3ichou kel 2nhar
It was a very big room.,كان بيت كبير,kan beyt kbir
Turn on the radio.,اگدي الراديو,2gdi radio
Do you eat rice in your country?,دولتك يوكلو مارو؟,dewltak yowklou marou?
I can't understand why people are frightened of new ideas. I'm frightened of the old ones.,"مانعرف اعلاش الناس تنخلع من الأفكار الجديدة, انا يخلعني الا ذ ادرس","mane3rev 3lach nas ten5le3 mn levkar jdida, 2ane ye5le3ni la 4e edres"
You don't have to come tomorrow.,اتگد ما ادجي اصبح,tged ma dji sebe7
Oumou ran.,أومو اجرات,oumou jrat
Vadhel's watching.,فاضل يخرص,Vadhel y5arass
Lincoln died in 1865.,لنكولن اتوف ف عام 1865م,Lincoln 2twefe v 3am 1865.
You wrote this book?,انت هو اللي كتبت ذا لكتاب؟,Inte houwe li ktbt 4e liktam?
A bear can climb a tree.,الدب يگد يشعبط الصدراية,doub ygid yche3be6 sedraye
What if it was just a tiff between two friends?,ايگد ايعود الا أفتان بين صاحبين,ygued  y3od ela evetan beyn sa7beyn 
What time does it start?,اينت تبدأ؟,inte tebde2?
He disappeared without a trace.,اختف ولا خل اوراه اثر,5teve wla 5ele wrah 2ether
Then let us begin.,ايو عطونا نسنتو,eywe 36ouna nsentou
I don't speak French well enough!,ما ني خباريه فالفرنسية,mani 5bari velverensiye
Betty has a sweet voice.,بتي حسها زين,Betty 7essha zeyn
It's the best book that I've ever read.,هذا اشبه كتاب گط گريتو,ha4a achbah ktab ga6 graytou
You may borrow this book as long as you keep it clean.,تگد تعري ذ الكتاب يغير عس عليه من لوسخ,tgued te3ri 4e lektab yegheyr 3ess 3lih mn loussa5
It was very kind of you to give me a nice gift.,هذا متعدل منك انك تعطيني ذ كادو,ha4a met3adel mnak enak ta36ini 4e cadeau
Football was played in China in the second century.,بالون كانت تلتعب في الصين في القرن الثاني,Balon kanet telt3ab v sin v l9arn thani
I refuse to consent to that plan.,ماني لاهي نگبل ذ البرنامج,mani lehi negbel 4e lbarnamej
"I'm just looking, thank you.",ألا نتنيمش شكرا,ela netneymech choukran
You may go there.,اتگد الا تمشي الهيه,tged la temchi lheyhe
Let's synchronize our watches.,وهاي نوافق وقت وقاقيتنا,wehay nwav9u we9et w9a9itne
I can hardly hear you.,بسيف سامعك,beseyv sam3ek
I regret missing the speech.,تندمت اني فاتني الخطاب,tnedemt eni vattni l5i6ab
So what?,ويل ذيك؟,wiyle 4ik?
Don't dwell on your past mistakes!,لا تستحضر دايما أخطاء الفاتت,laste7der daymn e56a2 lvatet
The bank isn't open on Sundays.,البنك ما يعود فاتح يوم الحد,lbank may3oud vat7 youm l7ad
May I use the toilet?,نگد نگيس الدوش؟,ngued nguis douche?
Plastic does not break easily.,بلاستيك ما يدگدگ بالعجلة,plastique ma ydegdeg bl3ajle
"Go and help them, Sid Ahmed.",سيد أحمد گيم عاونهم,Sid Ahmed gueyem 3awenhoum
Is the fish still alive?,الحوته مزالت حية؟,l7ute mezalt 7aye
"Watch out, the man has a gun.",اطرح بالك ، ذاك الراجل عندو مدفع,"6r7 balk ,4k rajl 3ndou medv3"
They will never accept; it's too far.,"ماهم لاهي يگبل, ابعيد حت","mahoum lahi yegeblou, b3id 7ete"
Is Amadu right?,هو آمادو عندو حق؟,houwe Amadou 3ando 7a9?
Could you please speak a little bit more slowly?,اتگد تتكلم بالشور حگلل,tged tetkellem b-shor 7agll
I know.,نعرف,Na3rv
He showed it to me.,هو نعتولي,houwe n3touli
Did you order the book?,انت كومانديت الكتاب؟,nte commendeyt lektab
Leave me alone!,افتصل معايه,ivtsal m3aye
You'd better not go there.,اشبه ما تمشي الهيه,chbeh ma temchi lheyhe
Were you at school at that time?,كنت فالمدرسة ذيك الساعة؟,kent vl medrassa 4ik sa3a?
How about going to a movie?,شمواسي عندك نمشي نخرصو فلم,chimwassi 3ndk nichou n5arssou vilm 
You should have done so.,كان يالتك اتعدل ذاك,kan yaltek t3edel 4ak
I can't use a fork well.,ما نعرف لوكيل بفرشيت,ma na3rav loukil b fourchette
Where's the boss?,امنينه المدير,Mneynhou lmoudiyr
The hotel has accommodation for one hundred.,لوتيل يرفد ميت رگاج,lhotel yerved mit regaj
Do you like playing volleyball?,تبغي لعب فولي؟,tebghi le3b volley?
The apple tastes sweet.,ابوماية حلوة,pommaye 7lowe
She told us not to make a noise.,طلبت منا لا انكيمو حس,6albit mine la 2ngeymou 7iss
It was really cheap.,كان هوين,kan hweyn
"If it were not for water, we could not live.",لكان الماء ماه خالق ما كنا لهي نحياو,lekan 2lme mahu 5alg makine lehi ne7yaw
Don't keep the TV on!,لا تخلي التلفزة گادية,la t5ali telveza gadye
I like your plan.,زين عندي خطتك,zeyna 3andi 5ou6tak
I usually go to school from Monday to Friday.,عادة انگيس المدرسه من الاثنين للجمعه,3adeten 2ngiss lmedrasse mn lethneyn liljoumou3a
Do you know the boy in the picture?,انت تعرف الطفل اللي في الصوره؟,2nt t3rf 26fl 2lli fi 2lsoura?
Make yourself at home.,اگبظ راحتك,gbe8 ra7tek
Cheikh married my sister.,الشيخ عاد مع اختي,Chei5 3ad m3a 5ti
We can't sleep because of the noise.,مان گادين نرگد بين لصوات,mane gadin neregdu bine leswat
When did you come to Japan?,اينت لاهي ادجي لليابان؟,2eynte lahi dji lelyaban?
The brake didn't work.,فرين ماه صالح,Freyn maho sale7
When do we arrive?,اينت نلحگ؟,2ynte nele7gou?
Any student can solve this problem.,ما خالگ تلميدي ما يگد يحل ذ المسألة,ma 5alg telmidi ma ygued y7el 4i lmes2ala
English is easy to learn.,الانگلبزيه لغه تعلمه هوين,lingliziye lougha t3elmhe hweyn
"I wouldn't have thought I would someday look up ""Hassaniya"" in Wikipedia.","ما كنت شاك اني لاهي انلود انهار من انهارات عن ""الحسانية"" ف ويكيبيديا","ma kent chak 2ni lahi 2nlewed 2nhar mn 2nharat 3en ""Hassaniya"" v Wikipedia"
Omar can run faster than Ali.,عمر اسبگ من اعلي,3omar esbeg mn e3li
He seems not to agree.,ايبان مو موافق,2yban mo mwavi9
Who said that? It's totally wrong!,"من گال ذ, ماه حگ بعد","men gal 4e, mahou 7eg b3d"
There are a lot of things you don't know about my personality.,خالگ ياسر من الروايات ما تعرفهم عن شخصيتي,5aleg yaser mn rwayat ma te3revhoum 3en che5siyti
Thank you for inviting me to the party.,گار في انك ناديتني,gar viye nak nadeytni
Sami never married.,سامي ما گط عاد فبلد,sami maga6 3ad v bled
I'd like to study in Paris.,نبق نگر ف باريس,neb9i negre v paris
What keeps you up so late?,انت شمخليك واعي إلَ وقت مَتْوَخَرْ؟,ent chem5elik wa3i ila wa9t metwa5er?
Mr George Bush is the forty-first president of the United States.,جورج بوش هو الرئيس الثاني والأربعين لأمريك,george bush howe ra2is ethani w arb3in el amrik
The weather varies from day to day.,الجو يتغير من شهر للثاني,ljew yetghayar mn nhar le thani
I love you more than you love me.,نبغيك اكثر من ما تبغيني,Nebghik ekther mn matebghini
I'm not convinced at all.,ماني مقتنع ابدا,mani me9tene3 2ebeden
Nessiba looks so tired.,نسيبة كيفتشي فترانة,Nessiba kivtchi vetrane
Aziz swims very fast.,عزيز يعوم بالعجلة,3aziz y3owm bl 3ajle
Where can I buy a ticket?,من امنين انگد نشري تيكيت,mn mneyn ngd nchri ticket
Education in this world disappoints me.,لگراي فذ العالم ادكم القريحة,legray 2v4e l3am dekem el9ari7a
Look it up in the dictionary.,لودلو فالقاموس,lawedlou vl 9amous
What did you make?,شعدلت,ch3adelt?
Did you miss me?,اتوحشتني؟,twe7echetni?
How many people?,كم من حد؟ ,km mn 7d?
The bird flies.,الطير يطير,6eyr y6ir
That's a good idea!,هذي تخميمه زين,he4i te5mime zeyne
Most Americans like hamburgers.,ياسر من الأمريكين يبغو الهمبرجر,yasser mn lemrikiyin yebghou hamburger
What do you think I've been doing?,شاكْ اني اشكنت انعدل؟,chak 2eni 2chkent n3edel?
"To make matters worse, her husband died.",ومن اللي زاد عليها توفى زوجها,wmen eli zad 3lihe tweffa zewjha
Forget it. It's not worth it.,انساه ماه مهم,nsah mahou muhim
What happened in the meeting?,شخلگ افلجتماع؟,Che5leg vlejtima3?
I can hardly walk.,الا بالسيف گاد نمشي,ala bseyf gad nmshi
George Washington was born in 1732.,جورج واشنطن خلگ عام 1732,George Washington 5leg 3am 1732
Come here.,اتعالى,et3ala
Aziz drove the car.,عزيز حرك الوتة,3aziz 7arak lwetta
You must look after the child.,يالتك تطرح بالك لطفل,yaltek te6re7 balek le6vel
Participate!,ساهم,sahm
Not all children like apples.,التركة ما يبغو ابوم كاملين,terka ma yebghou pomme kamlin
Everybody laughed at Salem.,الناس كامل ظحكو فسالم,nass kamel 8a7kou v Salem
Is it far from here?,هي ابعيد من هون؟,hiye b3id mn houn?
They must be crazy to believe such nonsense.,الا اثرهم ماهم عاقلين اللي جاد عليهم ذ النوع,ela etherhoum mahom 3a9lin eli yjed 3lihoum 4e no3
It's news to me.,هذا جديد علي,ha4a jdid 3liye
Where was Aziz born?,عزيز خلگ منين؟,3aziz 5leg mneyn?
This baby penguin is too cute!,هذ البطريق السقير زوين,ha4e lbi6ri9 2s9eyer zweyn
Do you feel any pain in your stomach?,كرشك توجعك؟,kerchk tewj3k?
"How do you spell ""pretty""?","بسمن حال تهجئ ""جميل""؟","besmen 7ale theje2 ""jemil"""
How long did you stay?,فوت كم؟,vewet kem?
You'd better not wait here.,اشبه ماتحاني هون,2echbeh ma t7ani houn
You need to study harder.,محتاج تگر بجدية,me7taj tegre bjediye
What do I have to do now that I'm registered?,شخاصني نعدل منين سجلت؟,Ch5asni n3edel mneyn sejelt?
Bring it back to me.,ردولي,redouli
"English is difficult, isn't it?",الانگلبزيه ماهي واعره,lingliziye malhe wa3re ?
"I'm sorry, I'm busy right now.",اسمحلي واحل ظرك,sma7li wa7el 8ark
We have to take him to the hospital immediately; he is seriously injured!,"يالتن انكيس بيه الطب ظرك, بيهلي مجروح جرح شنيع","yaletne ngisou bih 6eb 8erk, biheli mejrou7 jer7 cheniy3"
What are you staring at?,شتخرص؟,chet5eres?
It doesn't surprise me.,ما تفاجئت من ذاك,ma tvaje2et mn 4ak
"If you're going to start a new business, you need a business plan.",الى عدت لهي تبدا شغله اجديده، يالل اتجهز خطه,"2la 3idt lehi tebde2 chaghle 2jdide, yall 2tjehez 5i6a"
You'd better believe.,خير فيك تصدق,5eyr vik tsada9
"Peanut butter and jelly, please.",اعطيني بطة من گرتة و وحده من كونفتير حگل,a36ini ba6e mn guerta w wa7de mn confiture 7agalla
"You must help her, and soon!",يالتك اتعاونه بالعجل,yaltek t3awenhe bel3ejle
It takes twenty minutes to walk from the station to school.,المشي من الوقفة شور المدرسة يگبظ 20 دقيقه,lmechi mn lwa9ve chor lmedrese yegba8 20 da9i9a
Sami wanted to punish Layla.,سامي ابغى ايعاقب ليلى,sami 2b9a 2y3aghib leyla
How dare you say such a thing!,بسمن حال تتجرأ تگول شي ذا كيفو,besmen 7ale titjar2 tgoul chi 4e kivou
Who is your favorite friend and why is that person?,منه اگرب صاحب لك؟ و لاش؟,mnhou egreb sa7b lk? w Lach?  
It is too expensive for me to buy.,ما عندي باش شاريه,ma3andi bach charih
It is not easy to solve the problem.,هاذي المشكلة حلها ماه بسيط,ha4i lmouchkila 7alha maho bessi6
"Mahmoud, go and brush your teeth.",محمود گيم سوك سنيك,mahmoud gayam sawak sniyek
At last he yielded.,عگب استسلم,3gab steslem
You can't ride a horse.,ما تگد تركب لفرص,matged terkeb levres
Do you speak Italian?,انت تتكلم الإيطالية؟,2nte tetkelem l2iy6aliye?
I know a man who can speak Russian well.,نعرف راجل خباري في الروسيه,na3rv rajl 5bari vi roussiye
I didn't need to tell him.,ما كنت محتاجة انعلمو ,Makent me7taje n3elmou 
You are mistaken about that.,هذا مانك مغرش عليه,ha4a manak mgharach 3lih
Won't you join our conversation?,اتگد تشاركنا لمراد؟,tgid tcharkne lemrad?
There is little milk left in the bottle.,مزال شوي من اللبن فالبوش,mazal chwey mn elben vel bouch
I'm sorry. I didn't mean to scare you.,اسمحلي ما قصدت نخلعك,sma7li ma 9sadet na5l3ak
We have eaten there three times.,كلن فم اثلت مرات,Kelne vem 2ethlet merat
You can rely on him. He never lets you down.,"اتگد تتكل اعليه, ماه لاه يخذلك","tged tetkel 3lih, mahou lahi ye5e4lek"
We stood face to face.,اتواجهنا,twajhne 
Both Aziz and Omar are playing tennis now.,عزيز وعمر يلعبو التنس ظرك,3aziz w 3omar yel3bou tennis 8ark
Who am I talking with?,ذاك منه؟,4ak menhou?
Walk as fast as possible.,غاول گد ما گديت,ghawel guedt ma guedeyt
"Did you hear that, Mouhamed?",محمد، انت اسمعت ذا اللي قلت لك,"mo7amed, 2nta 2sma3t 4a 2lli glt lk"
What has become of your sister?,شخلگ لختك؟,che5leg le5tek?
She is eight.,عنده اثمن عمان,3endhe 2ethmen 3iman
I have a family.,عندي أهل ,3endi 2ehel
Your shoes are here.,انعايلك هون,n3aylek houn
We couldn't figure out what Mohamed wanted to do.,ما گدينا نعرفو ذلي كان محمد لاهي يعدل,ma guedeyna na3ervou 4eli kan Mohamed ydor y3adel
He will not go.,ماه لهي يمشي,mahu lehi yimchi
Amadu is popular at school.,آمادو مشهور في المدرسه,Amado mesh-hour vi-lmedrasse
This chair is ugly.,هاذي المگعدة شوينة,ha4i lmegue3da chweyna
Aziz likes tea better than coffee.,عزيز أغلى عليه أتاي من كافة,3aziz aghla 3lih atay mn kave
I prefer coffee to tea.,نختير كافه عن أتاي,ne5ter kave 3n 2tay
May I ask you something?,نگد نركب فيك غاية؟,ngued nrekeb vik ghaya?
Mr Ahmed is a highly educated man.,احمد راجل متعلم,Ahmed rajl mit3alm 
I've shut all six windows.,الكواوا الستة نگفلو كاملين,lekwawa eseta ngavlou kamlin
I never liked biology.,ما گط ابقيت بيولوجي,ma g6 2b9eyt biologie
"I heard a shop selling popcorn has just opened. Let's go, dudes.",اسمعت ان بتيگ يبيع الگلية الا من كيفن افتح. شباب وهاو انگيسوه,sme3et 2en boutig ybi3 legluiya la mn kivenou vte7. chebab wehaw ngisouh 
May I go out to play?,انگد نوخظ اياك نلعب؟ ,2ngd new58 iyak nel3ab
I must help her.,يال نعاونها,yall 2n3awnhe 
Wait till the soup warms.,حاني سوب يحمى,7ani soup ya7ma
Farid kicked a ball.,فريد خبط بالون,Farid 5ba6 ballon
Will he be able to come tomorrow?,يكد يجي الصبح؟,ygued yji seb7?
The horse stopped and wouldn't move.,لفرس وكفت وابات تحرك,levrass weguvet w ebat ta7rak
I'm not going to stop looking until I find Sidi.,ماني لاه انوگف عن تلواد الين انر سيدي,Mani lahi nwegev 3en telwad 2ileyn nre sidi
What were we talking about?,شكنا انردو,chkine nridou
"I was very careful, but I caught a cold.",كنت عاس حت يغير نوزلت,knt 3ass 7att yegheyr nozelt
"Take off your socks, please.",اگلع عنك سوستات حگلل,Gla3 3nk sousetat 7agll
I'll help you if possible.,ندور نعاونك ايلا گديت,ndor n3awnak eyla guedyet
"Under such circumstances, we cannot succeed.",فهاذي الظروف ما نگدو ننجحو,vha4i 8ourouv ma nguedou nenj7ou
Let's not watch TV.,عطينا ما نخرصو التلفزة,36ina ma n5arsou telveza
She is twenty years old.,هي عندها عشرين سنة,hiye 3andha 3chrin sena
What are you reading?,اشتگرى,chtegra?
Where're the shoes?,النعايل منين؟,n3ayl mneyn?
Please have someone else do it.,حگل خلي حد اوخر يتولى تعدال ذ,7agalla 5ali 7ad o5ar yetwala te3dal 4e
"No matter what happens, I won't be surprised.",ماني متفاجأه يسوى اللي خلگ,mani mitvaj2 yeswe li 5lg
Haven't you got any money?,عندك شي من الفظ؟,3endek chi mn lve8e?
"Come with me, will you?",امشي معايه وجتلك,mchi m3aye wejetlk
"We eat to live, not live to eat.",نحن نوكلو اياك نحياو ، ما نحياو اياك نوكلو,"n7ne newklou iyak n7yaw , mane7yaw iyak newklou"
It may freeze next week.,ايگد ايجي اگلاص اسبوع الجاي,ygued yji glace 2sbou3 2ljay
I met her an hour ago.,اجابرت معاها من ساعه,jabrt m3ahe mn sa3a
You can always count on Ahmed.,اتكد دائما تتكل اعل احمد,tged daymen tetkel 3le ahmed
We argued him into going.,اقنعناه يالمشي,9na3nah bilmechi 
I can help Tom out.,انگد نوخظ من ذي المعمعه,2ngd nw5d mn 4i 2lm3m3e
We received word of his death.,اسمعنا انو توفى,sma3ne inou twefe 
My legs still hurt.,كرعي مزال يوجعوني,Ker3eye mezalou yewj3ouni
It's brand new.,هاذي جديدة,ha4i jdida
The nurse took his temperature.,الممرضه خرصت حمتها,lmoumerida 5arssit 7imithe
Run!,ادفع !,edva3!
Nearly all Mauritanians have dark hair.,غالبية الموريتانيين روسهم كحل,ghalbyt 2lmouritaniyin roushoum ke7el
"Thank you. ""You're welcome.""",شكرا عفوا,chukran 3evwen
How much money do you want?,ادور كم من الفظ؟,dour kem mn lve8e?
What did you answer?,جاوبت باش؟,jawebet bach?
Here we are.,الحگنا,el7agna
Try and calm down.,حاول انك تهدا,7awl ink tehde
I promise not to disappoint you.,ضامنالك عني ماني لاهي نبخل حالة,dhamenlak 3ani mani lehi neb5al 7ala
Vadhel studied Arabic for one year.,فاضل اعطى سنة يكري العربية,vahel 36a sena ygra l3arabiye
I hope I can find a job in Boston.,ان شاء الله نجبر شغلة فبوسطن,inchallah nejbar chaghla v boston
What do you say to taking a rest?,شمواسي عندك تستراح,chimwassi 3ndk testera7 
Please make sure.,اتأكد حگلل,t2kd 7gll
I have heard the story.,هاذي لمردة گط سمعتها سابگ ظرك,ha4i lmreda ga6 sma3tha sabg 8ark
He found the box under the table.,جبر كيص تحت الطابلة ,Jber kiys te7t 6able 
How dare you say such a thing to me?,شمجرئك اعل ادگول شي ذ كيف لي؟,chemjer2ek 3le dgoul chi 4e kivou li?
I just cried because all the others did.,بكيت بي انهم كاملين ابكاو,bkeyt biye 2enhoum kamlin 2bkaw
I don't think he is fit for the job.,ماني شاك انو صالح الذي الشقلة ,mani chake Inou sale7 l4i che9le 
What are you going to do?,شلهي اتعدل؟,chlehi t3adel?
Sami and Layla argued sometimes.,سامي وليلى كانو يدايگو فالساعات,sami w leyla kano yedaygou v sa3at
I hope that it rains tomorrow.,ان شاء الله تجي السحاب الصبح ,inchallah tji s7ab seb7
He and I walked together.,مشيت ان و هو فبلد,Mcheyt 2ane w houwe v bled 
That's not my car.,هذي ماهي وتي,ha4i mehi wetti
You have made the very same mistake again.,طحت افنفس الخطأ مرة اخرى,6e7et vnevs l5e6e2 mere 5re
You are always complaining.,انت تشكي دائما,nte techki daymen
You should be responsible for your actions.,يالتك اتعود مسؤول عن افعايلك,yaltek t3oud mes2oul 3en v3aylek
The song reminds me of my home.,هذا الهول يفگدني بالدار,ha4a lhewl yveguedni b dar
What turned her against you?,ذ ال گالبها عليك شنه؟,4eli galebha 3lik chenhou?
Please turn the page.,حگل گلب الصفحة,7aglla gueleb esav7a
You may speak.,اتگد تتكلم,Tged tetkelem
"It's fun to play, too.",اللعب يلهي ملي,le3b yelhi mmeli
A hunter hunted hares with his dog.,الصياد اكرد النارب هو وكلبو,ssayad kred nareb howe w kelbou
We've prepared well.,نحن جاهزين ,Ne7ne jahziyn 
Is your school far from your home?,المدرسه ابعيده عن دارك ؟ ,lmedrasse 2b3ide 3n dark?
Why can't you come?,امالك ما تگد ادجي؟,malek ma tged dji?
Only a few people understood me.,اگليل امن الخلق اللي افهمني,2chwey 2mn 2l5al9 2lli 2vhmni
I see a flower on the desk.,انراعي ف افلير على الطابله,nra3i v vleyr 3le 6able
I was in London most of the summer.,كنت ف لندن حكما الصيف كامل,knt v london 7ukmn seyv kaml
I love this book above all.,نبغي ذ الكتاب عن لكتوب فر,nebghi 4e lektab 3an lektoub ver
You will miss the train.,دور يفوتك ترين,dor yvotak tren
The rain stopped at last.,اخيرا وگفت السحاب,"25irn, wegvt s7ab"
Let me try it.,خليني نجربها,5alini njarabha
"You bought the food, so if I buy tea that will even things up.","انت اشريت الطعام, معناه ان الا اشريت انا اتاي لاه انعود مساوين","2nte chreyt 63am, me3nahe 2en 2ila chreyt 2ane 2etay lahi n3oudu mesawyin"
I say this from my heart.,انگولو من گلبي,2ngoulou mn galbi
I want something to read.,اندور نگرى شي,ndor negra chi 
"It's raining, but I would like to go out.",السحاب جات يكون انا اندور نوخظ ,s7ab jat yekoun 2ane ndor new5a8 
I hope he'll be able to come! I'd like to see him.,الا ان شاالله ايجي! نبق نجبر,2ela nchallh yji! neb9i nejebrou
How I've missed you!,مت بي وحشتك!,met biye we7echtek!
"In order to do that, you have to take risks.",اياك اتعدل ذاك يالتك تعزم,2iyak 2t3edel 4ak yaltek te3zem
To kill two birds with one stone.,اخبط طويرين بحجر وحد,5ba6 6weyreyn b 7ajare we7de
Each country has its own customs.,كل ابلد و عاداتو و تقاليدو,kl beled w 3adatou w ta9alidou 
"Turn down the volume, please.",گظظ حسك، حگلل,Ge8e8 7esek 7agll
What are you talking about?,ذلي تتكلم عن شنه؟,4eli tetkelem 3enu chenhu?
You must control yourself.,يالتك اتسيطر اعل راصك,yaltek tsey6er 3le rasek
Take your time.,لا تعجل,la te3jel
The students learned this poem by heart.,التلاميذ حفظو ذي القصيده ,tlami4 7av8ou 4i l9asside
He worked hard.,ما ابخل شي,mab5al chi
I live here.,أنا ساكن هون ,ena saken hown
Mustafa took advantage of Omar's weakness.,مصطفى استعمر عمر بيه انو اضعيف,Mes6ave sta3mar 3omar bih nou dh3ayv
Aziz lost his job.,عزيز نصاع من الشغلة,3aziz nsa3 mn chaghla
I'm coming.,ندور نجي,ndor nji
Sami got upset.,انفگع سامي,Nvge3 sami 
There is one apple on the desk.,فم فيه ابمايه وحده على الطابله,vem vih pemmaye wa7de 3le 6able
You haven't changed at all.,انت ما تبدلت ,nte ma tbedelt
You may invite whomever you like.,اتگد اتناد الي تبق,tged tnadi li teb9i
You must follow school rules.,يالل تحترم قوانين المدرسه,yall ti7teram 9awanin lmedrasse
There were few students left in the classroom.,خالگين شوي من التلاميذ بگاو في القسم ,5algin chwey mn tlami4 bgaw vi l9ism
I couldn't have done it without you. Thank you.,ماكنت لاهي انعدل ذاك لكنت ماعاونتني. شكرا,ma kent lahi n3edel 4ak lekent ma3awenetni. choukran
Thank you for your interest.,شاكرتك على اهتمامك,chakrtk 3le 2htimamk
"Correct errors, if any.",صحح الاخطاء ، لين تعود خالگه,s77 le56a2 leyn t3oud 5alge
Do you have a driver's license?,عندك ابرمه؟,3ndk pirme ?
"You may be right, but I am against your opinion.",اتگد اتعود عندك الحگ يكون ان ماني امع ارايك,tged t3oud 3endek l7eg yekoun 2ane mani m3e 2erayek
Mary bought a new malehfa for the party.,ماري شرات ملحفة جديدة للندوية ,mari chrat mel7fa jdida le nedwiya
It was a mouse.,ذاك كان فار,4ak kan var
Where's the whipped cream?,منينهي كريم؟,Mneynhi creme?
What happened?,ذل خلگ شنه؟,4eli 5leg chenhou?
"Excuse me, I'm lost.",اسمحلي أنا ذاهب,sma7li ena 4aheb
He works at a bank.,هو يشتقل فالبنك,Houwe yechet9el v lbenk
Every pupil was asked one question.,كل تلميدي اوسول سؤال واحد,kel telmidi owsewl sow2al wa7ed
I have an idea.,عندي فكرة,3ani vikra
Let me have a look at the picture.,اعطيني نشوف الصورة,a36ini nchov essoura
What do you learn?,اشتگر؟,chtegre?
My heart was filled with happiness.,متل گلبي ب الفرح,metle gelbi bel vere7
"Mom, Fatimetou's hitting me!",ماما، فاطمة اتبطني,"Mama, Fatimetou tbe6ni"
"Just stand there, please.",اوگف الهيه حگل,ouguev lheh 7agalla
"Above all, be patient.",اهم شي انك تعود صبار,ehem chi ink t3oud sabar
You should apologize.,يالتك الا تطلب اسماح,yaltek la te6leb sma7
Their trip was postponed because of the rain.,اوأجلت رحلتهم بيه اسحاب,2w2jlt ri7lithoum bihe 2s7ab
I looked all over the house for that letter.,لودت فالدار كامل ال لبراوة,lewedt v dar kaml el lembrawa
I don't like you anymore.,ماتليت نبقيك,matleyt neb9ik
I am determined to be a scientist.,اعگدت العزم اني نعود عالم,3gdt l3azm ini n3oud 3alm 
Mouhamed is captain of our team.,محمد شيف لكيب,mou7amed chif lequipe
Can I wait for Salem here?,نگد نحاني سالم هون؟,ngued n7ani Salem hown?
What is your favorite TV program?,شنه البرنامج اللي قالي عليك فتلفزة؟,Chenhou lbernamej li 9ali 3lik v telveze?
We left by train.,امشين ف القطار,mcheyne v l9i6ar
Take me with you.,اگبظني معاك,gba8ni m3ak
Get out of bed!,گوم عن المتكة,goum 3an lmetka
Have you ever seen a kangaroo?,گط شفت سابگ ذ كنغرو؟,ge6 chevet sabeg 4e kengrou?
One million people lost their lives in the war.,اَفْنَ مليون ارگاج ف الحرب,2evne melyoun regaj v l7ereb
I'll lend it to you.,لاه نعرهالك,lahi ne3rihalek
"I am looking for a job, sir.",نلود للشغلة,nlewd le chaghla
The doctor advised that she take a holiday.,الطبيب انصحها تگبظ الراحه,6abib nsa7he tegba8 ra7a
"Take your time, Mouhamed.",اگبظ وقتك، محمد,2gb8 wa9tk Mouhamed
"Cut, wash and dry, please.","گطع, اقسل, عاگب ذاك يبس حگل","9e6e3, 9sel, 3ageb 4ak yebes 7egele"
The lecture lasted for two hours.,المحاضرة مضات ساعتين,2lmou7adere medat sa3teyn
I was eighteen then.,ذيك الساعة كان عندي اثمنطعشر سنة,4ik sa3a kan 3andi ethmen6a3char sena
These fireworks are spectacular!,هذا بتال زين,ha4a petale zeyn!
Who wrote this book?,ذ الكتاب من كاتبو؟,4e lektab mn katbo
Take an umbrella with you in case it begins to rain.,اگبظ ظلاله معاك لعل من تجي عليك السحاب,2gb8 8alale 2m3ak l3l mn 2tji 23lik 2s7ab
Her name wasn't on the list.,اسمها ما كان على الليست,2ssmk makan 3le list
Is that pure gold?,هذا ذهب صافي؟,ha4a 4heb savi ?
I think he's making a big mistake by turning down the job.,ندي عن تمابيه عن ذ المنصب خطأ كبير,ndi 3an tmabih 3n 4e lmansib 5a6a2 kbir
"Passport, please.",باسبورك حگل,passporak 7agalla
Perhaps it will snow Tomorrow.,الصبح يگد يطيح گلاص,seb7 ygued y6i7 glace
Our school was founded in 1990.,مدرستنا اوعدلت عام 1990,medrasstne 2w3adlt 3am 1990
I walked here and there on the street.,زگننت هون و هوك شوي ف شارع,Zegnent houn w houk chwey v chare3
Giant pandas live only in China.,الباندا لكبيرة خالگة الا شور الصين,elpanda lekbira 5alga ela chor sin
Innocence is a beautiful thing.,البراءة شي زوين,2lbera2e chi zweyn
Mustafa has two sons.,مصطفى أولادو أثنين,Mes6ave ewladou thneyn
When did you get to London?,اينت جيت ال لندن,inte jeyt 2l london
Do you have a pen?,عندك قلم؟,3andak 9lem?
Whom are you speaking of?,تتكلم عن من؟,tetkelem 3en men?
"Either way, it's not important.",يسو اللي خلگ ذاك ماه مهم,yeswe eli 5leg 4ak maho mouhim
Do you eat it in the classroom?,انت توكل في القسم ,nte tewkel vil9ism 
